name,status,headquarter,industry
Forest Admin Inc,rejected,California,SaaS
Apple,signed_up,"Cupertino, California, United States","Consumer Electronics, Electronics, Hardware, Retail"
Lyft,pending,"San Francisco, California, United States","Mobile Apps, Peer to Peer, Ride Sharing, Transportation"
SpaceX,approved,"Hawthorne, California, United States","Aerospace, Space Travel, Transportation"
WeWork,approved,"New York, New York, United States","Collaboration, Coworking, Hospitality, Property Development"
Massachusetts Institute of Technology - MIT,pending,"Cambridge, Massachusetts, United States","Education, Higher Education, Market Research, Universities"
Nvidia,signed_up,"Santa Clara, California, United States","GPU, Hardware, Software, Virtualization"
Kickstarter,rejected,"Brooklyn, New York, United States","Crowdfunding, Crowdsourcing, Finance, FinTech, Funding Platform"
Dropbox,rejected,"San Francisco, California, United States","Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting"
Stripe,approved,"San Francisco, California, United States","Credit Cards, Developer APIs, Internet, Payments, SaaS, Software"
DoorDash,rejected,"San Francisco, California, United States","Delivery, Food Delivery, Local, Logistics, Mobile, Small and Medium Businesses"
Reddit,approved,"San Francisco, California, United States","Content, News, Social Bookmarking, Social Media, Social Network"
Toutiao,live,"Beijing, Beijing, China","Analytics, Big Data, Data Mining, Internet, Machine Learning, Social Network"
OurCrowd,approved,"Jerusalem, Yerushalayim, Israel","Angel Investment, Crowdfunding, Funding Platform, Impact Investing, Venture Capital"
Robinhood,rejected,"Palo Alto, California, United States","Finance, Financial Services, FinTech, Mobile, Personal Finance"
LinkedIn,pending,"Mountain View, California, United States","Professional Networking, Professional Services, Social Media, Social Recruiting"
Siemens AG,pending,"Munich, Bayern, Germany","Consumer Electronics, Electrical Distribution, Energy Efficiency, Health Care, Manufacturing"
Ring,approved,"Santa Monica, California, United States","Consumer Electronics, Security, Smart Home"
Nutanix,signed_up,"San Jose, California, United States","Data Center, Enterprise Software, Virtualization"
SoFi,pending,"San Francisco, California, United States","Education, Finance, Financial Services, FinTech, Life Insurance, Personal Finance, Wealth Management"
Airtel,pending,"New Delhi, Delhi, India","Mobile, Public Relations, Telecommunications"
ecobee,pending,"Toronto, Ontario, Canada","Consumer Electronics, Energy Management, Internet of Things"
Mayo Clinic,live,"Rochester, Minnesota, United States","Biotechnology, Health Care, Medical, Non Profit"
Theranos,rejected,"Palo Alto, California, United States","Biotechnology, Consumer, Health Care, Health Diagnostics"
Uber,signed_up,"San Francisco, California, United States","Mobile Apps, Public Transportation, Ride Sharing, Transportation"
Rent the Runway,pending,"New York, New York, United States","Consumer Goods, E-Commerce, Fashion, Retail"
Deliveroo,live,"London, England, United Kingdom","Delivery, Food and Beverage, Marketing, Restaurants, Same Day Delivery"
Square,pending,"San Francisco, California, United States","Finance, FinTech, Hardware, Mobile, Mobile Payments, Payments, Software"
Boston Scientific,approved,"Marlborough, Massachusetts, United States","Health Care, Manufacturing, Medical"
Circle,live,"Boston, Massachusetts, United States","Banking, Finance, Financial Services, FinTech, Payments, Personal Finance"
General Electric (GE),approved,"Fairfield, Connecticut, United States","Electronics, Energy, Finance, FinTech, Manufacturing"
